Estado,Ano,Incompleto,Completo
RO,2012,"3,7","5,5"
AC,2012,"3,4","6,7"
AM,2012,"3,4","5,8"
RR,2012,"5,1",9
PA,2012,"2,3","4,1"
AP,2012,"3,7","7,1"
TO,2012,"3,4","6,7"
MA,2012,"1,9","3,1"
PI,2012,"2,4","5,4"
CE,2012,"2,7","5,4"
RN,2012,"2,8","5,2"
PB,2012,3,"5,5"
PE,2012,"2,7",7
AL,2012,"2,3","4,1"
SE,2012,"3,8","6,4"
BA,2012,"2,3","5,1"
MG,2012,"3,3","8,1"
ES,2012,"3,5","8,2"
RJ,2012,"4,1","10,6"
SP,2012,"3,9","13,5"
PR,2012,"3,8",10
SC,2012,"4,3","9,9"
RS,2012,"5,3","8,9"
MS,2012,"4,6","7,8"
MT,2012,"3,6","8,4"
GO,2012,4,"8,2"
DF,2012,"6,2","19,7"
RO,2013,"3,3","5,3"
AC,2013,"3,6","6,5"
AM,2013,"3,8","6,2"
RR,2013,"5,1","9,6"
PA,2013,"2,4","4,6"
AP,2013,"4,4","8,1"
TO,2013,"3,5","6,6"
MA,2013,"1,9","3,5"
PI,2013,3,"6,3"
CE,2013,"2,9","5,4"
RN,2013,"3,2","5,8"
PB,2013,"3,2","5,9"
PE,2013,"2,7","7,1"
AL,2013,"2,7","4,5"
SE,2013,"3,6","6,7"
BA,2013,"2,4","4,8"
MG,2013,"3,4","8,3"
ES,2013,"3,4","8,5"
RJ,2013,4,"11,2"
SP,2013,"4,2","13,7"
PR,2013,"3,7","10,7"
SC,2013,"4,5","10,1"
RS,2013,"5,4","9,9"
MS,2013,"4,4","8,5"
MT,2013,"4,4","9,2"
GO,2013,4,"8,2"
DF,2013,"6,7",20
RO,2014,"3,5","5,9"
AC,2014,"3,9","7,1"
AM,2014,"3,8","6,8"
RR,2014,6,"10,3"
PA,2014,"2,7","4,4"
AP,2014,"4,1","9,1"
TO,2014,"3,4","7,6"
MA,2014,2,"4,2"
PI,2014,"2,9","6,9"
CE,2014,3,"5,5"
RN,2014,"3,6",7
PB,2014,"3,4","6,9"
PE,2014,3,"7,8"
AL,2014,3,"5,9"
SE,2014,"3,7","7,6"
BA,2014,"3,1","5,4"
MG,2014,"3,7","9,2"
ES,2014,"3,7","9,5"
RJ,2014,"4,1","11,7"
SP,2014,"4,5","14,6"
PR,2014,4,"11,1"
